,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,uris
0,Drake,Dreams Money Can Buy,0.423,0.587,6,-6.635,1,0.529,0.765,0.0,0.114,0.33,180.331,253803,spotify:track:1qyFlfPREPbRcS2BNszdYI
1,Drake,The Motion,0.631,0.788,4,-7.142,0,0.102,0.371,0.000317,0.108,0.544,157.769,240957,spotify:track:0Tacxc5lDJ8LwiO1pWNSl8
2,Drake,How Bout Now,0.789,0.404,1,-8.364,1,0.23,0.205,0.0,0.219,0.472,122.062,235566,spotify:track:4n4BflhWjCHIxrI4v7Xt9s
3,Drake,Trust Issues,0.421,0.539,11,-5.456,0,0.274,0.779,0.0,0.111,0.523,89.177,281519,spotify:track:4Wjhj0WjkyECccfHVIgaTq
4,Drake,Days in The East,0.733,0.361,1,-11.129,1,0.135,0.348,0.000285,0.0942,0.0361,94.902,353698,spotify:track:4czcw3NVLY0of5hTD7OufN
5,Drake,Draft Day,0.673,0.81,8,-3.793,1,0.36,0.0322,0.0,0.133,0.564,166.084,266325,spotify:track:3W3FVHEDetkiRkkGKDmdir
6,Drake,4pm in Calabasas,0.743,0.66,4,-4.802,0,0.418,0.115,0.0,0.101,0.549,192.031,240218,spotify:track:6C9SwoZ5OrxcvkntgA5t8s
7,Drake,5 Am in Toronto,0.555,0.88,11,-4.325,0,0.265,0.0678,0.0,0.0723,0.391,87.195,205264,spotify:track:0FnxK9FEAQyPJ284QcieNb
8,Drake,I Get Lonely,0.477,0.501,11,-9.178,0,0.0398,0.706,5.61e-06,0.0953,0.689,81.376,253562,spotify:track:3sMC6vfTTSa0mMAPTwzDVD
9,Drake,My Side,0.549,0.495,6,-5.661,0,0.133,0.603,7.26e-06,0.0979,0.385,81.012,294651,spotify:track:4alHkxxwAhvoGg3dJCATKV
10,Drake,Jodeci Freestyle (feat. J. Cole),0.498,0.844,2,-2.834,1,0.268,0.0111,0.0,0.102,0.282,88.435,254022,spotify:track:2xUHiyGeGrWmmfv7NbDTWC
