,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,uris
0,Playboi Carti,Long Time - Intro,0.472,0.86,4,-3.967,0,0.0451,0.284,0.0,0.83,0.366,144.073,211773,spotify:track:4IO2X2YoXoUMv0M2rwomLC
1,Playboi Carti,R.I.P.,0.725,0.723,8,-6.067,0,0.16,0.0119,0.0,0.086,0.509,140.003,192027,spotify:track:3L0IKstjUgDFVQAbQIRZRv
2,Playboi Carti,Lean 4 Real (feat. Skepta),0.754,0.777,7,-5.077,1,0.0665,0.0303,0.0,0.362,0.159,75.98,177027,spotify:track:1JgkiUg9mSXSwcb5Gbi4Ur
3,Playboi Carti,Old Money,0.716,0.618,2,-10.227,1,0.338,0.0271,0.0,0.342,0.584,162.957,135547,spotify:track:0syXbGoFZbTMXm8hGCEvW0
4,Playboi Carti,Love Hurts (feat. Travis Scott),0.724,0.45,4,-5.763,0,0.0496,0.0315,1.36e-05,0.111,0.464,140.981,180560,spotify:track:3K6U7TamNyVSWcFH8pCQHX
5,Playboi Carti,Shoota (feat. Lil Uzi Vert),0.674,0.649,1,-8.433,0,0.199,0.191,0.0,0.122,0.48,153.069,153800,spotify:track:2BJSMvOGABRxokHKB0OI8i
6,Playboi Carti,Right Now (feat. Pierre Bourne),0.687,0.604,6,-5.005,0,0.0663,0.139,0.0,0.203,0.308,78.487,207013,spotify:track:475jSz0H6U3duJyNiDS0tT
7,Playboi Carti,Poke It Out (with Nicki Minaj),0.894,0.59,9,-5.716,1,0.221,0.097,9.06e-06,0.329,0.575,147.009,269813,spotify:track:2rPSFKzGeqUWwfcCFVkkq3
8,Playboi Carti,Home (KOD),0.722,0.686,7,-6.178,0,0.24,0.319,0.0,0.352,0.435,77.015,162133,spotify:track:5wPyd3IQAZft1vmxoIqGrU
9,Playboi Carti,Fell In Luv (feat. Bryson Tiller),0.657,0.668,2,-6.208,1,0.137,0.0268,0.0,0.32,0.226,162.995,206333,spotify:track:1s9DTymg5UQrdorZf43JQm
10,Playboi Carti,Foreign,0.762,0.705,6,-5.195,0,0.165,0.0906,0.0,0.17,0.264,122.955,142893,spotify:track:500l6Cwe40hkPqS7Sf7ufY
11,Playboi Carti,Pull Up,0.84,0.597,2,-7.569,1,0.3,0.0109,0.000169,0.114,0.569,156.975,216400,spotify:track:424qpX6swdUdhLq95cecNu
12,Playboi Carti,Mileage (feat. Chief Keef),0.742,0.616,1,-6.285,1,0.179,0.0623,0.0,0.111,0.396,150.855,149760,spotify:track:1oNcc2isuz7d3hc1fMoHqj
13,Playboi Carti,FlatBed Freestyle,0.755,0.552,9,-5.604,1,0.288,0.0967,0.0,0.158,0.402,153.157,193973,spotify:track:5nayhWICkQGMTkisxVMbRw
14,Playboi Carti,No Time (feat. Gunna),0.943,0.763,5,-5.568,0,0.133,0.0177,1.76e-05,0.114,0.229,139.969,219453,spotify:track:5pHJv0bgNsT9nPoK2BjNBn
15,Playboi Carti,Middle Of The Summer (feat. Red Coldhearted),0.638,0.669,8,-6.442,1,0.234,0.0125,0.0,0.0747,0.452,136.867,137027,spotify:track:7AtBtwrKhz94hYXgGYyG58
16,Playboi Carti,Choppa Wont Miss (feat. Young Thug),0.858,0.661,0,-6.544,1,0.319,0.0182,0.0,0.115,0.611,163.056,217960,spotify:track:5O9zs6G6RcB6yP1OKwnwiM
17,Playboi Carti,R.I.P. Fredo (feat. Young Nudy) - Notice Me,0.912,0.755,2,-5.393,1,0.142,0.1,0.0,0.179,0.625,140.051,161200,spotify:track:45Ln3F9PRPYTXBcMFkZMzS
18,Playboi Carti,Top (feat. Pierre Bourne),0.955,0.518,5,-5.522,0,0.0649,0.00906,0.0,0.113,0.162,130.003,133013,spotify:track:7HsvTUJcXRQVK6QuALkAvW
19,Playboi Carti,Location,0.717,0.79,11,-4.213,1,0.2,0.33,0.000125,0.518,0.375,125.981,168784,spotify:track:3yk7PJnryiJ8mAPqsrujzf
20,Playboi Carti,Magnolia,0.791,0.581,11,-7.323,0,0.286,0.0113,0.0,0.35,0.438,162.99,181812,spotify:track:1e1JKLEDKP7hEQzJfNAgPl
21,Playboi Carti,Lookin,0.827,0.57,0,-8.22,1,0.365,0.0457,0.0,0.148,0.412,148.119,183552,spotify:track:1UAmQe8EwpxQ80OfYVD13z
22,Playboi Carti,wokeuplikethis*,0.785,0.62,8,-6.668,1,0.254,0.0138,0.0,0.15,0.478,78.476,235535,spotify:track:59J5nzL1KniFHnU120dQzt
23,Playboi Carti,Let It Go,0.685,0.53,11,-5.298,1,0.286,0.0036,0.0,0.573,0.55,157.012,150410,spotify:track:23QyE9GQpXsX9WgEDADMa6
24,Playboi Carti,Half & Half,0.899,0.496,7,-4.691,1,0.329,0.136,0.0,0.139,0.145,127.046,227044,spotify:track:2TdZdeKIDMqi1B3139W4Wb
25,Playboi Carti,New Choppa,0.772,0.605,0,-4.223,0,0.0579,0.174,0.0,0.329,0.425,128.162,126043,spotify:track:30sc425JEvj3tgmGAKORea
26,Playboi Carti,Other Shit,0.841,0.47,0,-6.741,1,0.372,0.303,0.0,0.233,0.423,133.026,168713,spotify:track:1KsfhDZbBY2JjTHLmYhkK1
27,Playboi Carti,NO. 9,0.885,0.607,1,-7.642,0,0.386,0.00973,0.0,0.325,0.391,137.881,199191,spotify:track:5Nq6lLSxphlsA6nQB0KtES
28,Playboi Carti,dothatshit!,0.745,0.744,9,-5.56,1,0.254,0.067,0.0,0.279,0.451,162.965,184964,spotify:track:1KzNsOkpQthVwpCJrADJEQ
29,Playboi Carti,Lame Niggaz,0.9,0.488,5,-6.371,0,0.274,0.0315,0.0,0.101,0.679,83.498,173683,spotify:track:1xUQwXDDKW79z7GRUt2vMW
30,Playboi Carti,Yah Mean,0.776,0.73,5,-6.324,0,0.328,0.0639,0.0,0.113,0.74,162.984,165642,spotify:track:5MUxrNd7Gr2HksLcAlB0IO
31,Playboi Carti,Flex,0.75,0.594,0,-5.619,0,0.282,0.48,0.0,0.166,0.255,130.104,240460,spotify:track:2xyBvir9n474qfsOkxXMgx
32,Playboi Carti,Kelly K,0.715,0.522,1,-4.69,1,0.151,0.237,0.0,0.389,0.233,158.023,271154,spotify:track:3hDp5jRxvtD31giFGUaE1x
33,Playboi Carti,Had 2,0.8,0.672,11,-7.925,0,0.32,0.0434,0.0,0.141,0.871,76.023,139279,spotify:track:2mkV4angeBLZPTcYOSrjee
34,Playboi Carti,YUNGXANHOE,0.724,0.698,7,-6.191,1,0.117,0.0296,2.77e-06,0.293,0.29,105.995,176793,spotify:track:6Tk5hACxuFrRNGewPvPvgA
35,Playboi Carti,Talk,0.931,0.296,5,-10.789,1,0.23,0.406,0.0,0.106,0.321,119.994,160237,spotify:track:5iFLfEbO9Wh8dobYylq8Rb
36,Playboi Carti,I Got Depressed Hoes (feat. Slug Christ),0.426,0.818,8,-7.576,1,0.373,0.16,0.0,0.437,0.34,105.964,224449,spotify:track:15DEpxbVsJax3TgsmTIawc
37,Playboi Carti,Count It Up,0.779,0.521,7,-7.289,0,0.0935,0.0137,0.0,0.115,0.164,137.995,209701,spotify:track:30o0noIgWIlDktuG8ehwY0
38,Playboi Carti,Whole Thang (feat. Uno The Activist),0.764,0.723,10,-6.3,0,0.0613,0.00719,0.0,0.295,0.536,113.975,221319,spotify:track:0z99tERlbKF8R8kyUsOER0
39,Playboi Carti,Dont Tell Nobody (feat. Hoodrich Keem),0.679,0.636,11,-7.65,0,0.323,0.178,0.0,0.379,0.481,141.986,217077,spotify:track:6dA4SztnztnXwYoBVR39wj
40,Playboi Carti,Dem Callin (feat. Ramriddlz),0.578,0.721,4,-5.105,1,0.131,0.0103,0.0,0.329,0.662,127.115,247615,spotify:track:7e5WppzulpdTKAQu7uUNch
41,Playboi Carti,Fetti (feat. Da$H Maxo Kream),0.74,0.55,10,-8.369,0,0.25,0.396,0.0,0.887,0.378,104.083,303788,spotify:track:6Y4CI6as0a7QjXaPiqU4Jt
42,Playboi Carti,2Door (feat. Lamb),0.771,0.428,10,-8.054,1,0.117,0.669,1.93e-05,0.273,0.196,127.942,213778,spotify:track:3GNYTLCZgr2A3r2wn0nim4
43,Playboi Carti,Paper,0.668,0.467,9,-7.477,0,0.0609,0.0114,0.0,0.278,0.202,119.957,195509,spotify:track:0lpnNjOgqmZcXjvx0Jf1Qz
44,Playboi Carti,Pray 4 Me,0.463,0.497,10,-7.811,0,0.223,0.728,4.94e-05,0.175,0.213,177.743,126488,spotify:track:5AaNNK1S47TcvpS0UHPbMq
45,Playboi Carti,Purple Pool (feat. Neako),0.727,0.674,4,-7.894,1,0.0569,0.458,0.0,0.0939,0.73,130.184,222154,spotify:track:36UyPzTqU6DhP4hMTSPe9C
46,Playboi Carti,Sneak Dissin,0.562,0.569,10,-6.913,0,0.11,0.0405,0.0,0.319,0.424,139.516,65253,spotify:track:39NanNrdLpHPDAhpXjJkE9
47,Playboi Carti,What We Doin,0.806,0.559,2,-5.878,1,0.151,0.273,0.0,0.361,0.305,140.078,164804,spotify:track:1AALPO6tYCybHHXp9tjTBy
48,Playboi Carti,Freestyle 4 The People (feat. Ethereal),0.729,0.716,1,-6.013,0,0.325,0.411,0.0,0.253,0.72,112.977,305124,spotify:track:3hhUmjOEDRvasidgQcbrgr
49,Playboi Carti,4Tspoon (feat. Yung Bans),0.707,0.654,11,-8.59,0,0.284,0.0895,3.32e-05,0.316,0.691,116.998,173897,spotify:track:45nws9GcCPP4D1n9hJ6Ytq
50,Playboi Carti,Plug (feat. Kodak Black Rich The Kid),0.726,0.605,0,-6.463,1,0.172,0.0213,0.0,0.124,0.459,148.864,235336,spotify:track:2gFnXev7gwXCjKXoL0CkiW
51,Gunna,Wit It,0.868,0.657,7,-5.318,0,0.0745,0.197,0.0,0.105,0.508,125.905,139644,spotify:track:1unFtbwcAnSGgYPmp52vc0
52,Gunna,Outstanding,0.829,0.73,6,-4.554,0,0.241,0.309,0.0,0.109,0.324,149.075,180780,spotify:track:76PwajqH3ej4hnk9tgaJpp
53,Gunna,One Call,0.861,0.481,2,-7.309,1,0.343,0.125,1.38e-05,0.0903,0.188,146.992,195736,spotify:track:3pq5dd3Hwg2uJ3d63v9YRx
54,Gunna,Cash War,0.94,0.455,2,-6.046,1,0.21,0.0411,4.63e-06,0.114,0.106,108.065,195653,spotify:track:42vD3VJBNhxLQ1SWmryw8C
55,Gunna,Richard Millie Plain,0.744,0.674,1,-7.518,0,0.0641,0.356,0.0,0.128,0.316,134.021,200135,spotify:track:14PWHDV87nXiSuClZDsEYC
56,Gunna,Yao Ming,0.938,0.504,4,-6.414,0,0.364,0.179,0.0,0.102,0.586,139.976,149613,spotify:track:5bWYPkdp7tPbp1dhE9AX43
57,Gunna,Idk Why,0.555,0.532,0,-8.191,1,0.448,0.101,4.17e-06,0.0772,0.296,97.26,199687,spotify:track:06S7iIXT8ZVAcVK6l1iXvx
58,Gunna,Derek Fisher (feat. Lil Baby),0.759,0.562,9,-6.228,0,0.149,0.293,0.0,0.0979,0.706,145.139,189443,spotify:track:0mOp9tWdCRHfYwwVaO8ezw
59,Gunna,Baby Birkin,0.848,0.649,2,-6.083,1,0.315,0.232,0.0,0.101,0.629,118.04,181948,spotify:track:0BOmhToQ03yOdpzYKMEnAg
60,Gunna,Speed It Up,0.912,0.587,7,-7.395,1,0.0582,0.0394,0.01,0.111,0.435,143.027,179022,spotify:track:6PfI6EeLNiNGVAVg11nv7D
61,Gunna,3 Headed Snake (feat. Young Thug),0.914,0.415,6,-10.708,1,0.464,0.0536,0.0,0.131,0.646,135.03,241995,spotify:track:2OaKHGvIxoOzIYjyMsxcT8
62,Gunna,Big Shot,0.82,0.551,2,-6.144,1,0.125,0.0301,5.92e-06,0.134,0.328,156.983,177683,spotify:track:3QLvGx3PNgsyIjJOyIcuGh
63,Gunna,On A Mountain,0.787,0.552,4,-7.676,0,0.0685,0.0808,0.0,0.102,0.21,81.987,175721,spotify:track:79Dpa6xXRNsXzMueN8BvAg
64,Gunna,Out The Hood,0.84,0.427,5,-9.777,0,0.376,0.375,2.55e-05,0.111,0.445,147.931,155873,spotify:track:3OGGzDmPU14szwANX5tbbn
65,Gunna,Same Yung Nigga (feat. Playboi Carti),0.852,0.568,1,-9.202,0,0.344,0.183,0.0,0.0993,0.504,81.526,180935,spotify:track:1q9jq5X5vwmewjOa2mHtQ1
66,Gunna,Who You Foolin,0.916,0.756,0,-7.653,1,0.188,0.0942,0.0,0.23,0.756,115.69,151539,spotify:track:7KVPsVMOK3NL7subwJ0dZj
67,Lil Baby,Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV),0.859,0.506,10,-8.115,0,0.418,0.105,0.0,0.113,0.153,140.973,187465,spotify:track:6PoKfDY78ih5OveWirggRX
68,Lil Baby,Business Is Business (Lil Baby & Gunna),0.821,0.636,7,-6.038,0,0.0899,0.288,0.0,0.104,0.4,142.008,162268,spotify:track:7roKDmJDOzkpfGpUQJ5EnL
69,Lil Baby,Belly (Lil Baby & Gunna),0.766,0.692,1,-5.343,1,0.0705,0.175,0.0,0.0844,0.426,120.028,191724,spotify:track:1yQvL8SzbF5JCroRKk9F07
70,Lil Baby,Deep End (Lil Baby & Gunna),0.658,0.535,11,-8.197,1,0.515,0.257,0.0,0.0981,0.395,150.055,174662,spotify:track:16QjPRt5HYK0dnLGmGRCvf
71,Lil Baby,World Is Yours (Lil Baby & Gunna),0.834,0.557,6,-7.148,1,0.543,0.113,0.0,0.0694,0.575,109.867,157199,spotify:track:0p0jvYdazuWBMC8QacxpUH
72,Lil Baby,Underdog (Lil Baby & Gunna),0.791,0.735,5,-4.764,0,0.16,0.0427,0.0,0.134,0.497,144.985,211853,spotify:track:2Am26UXisQ91vBLYdqd7Pa
73,Lil Baby,I Am (Lil Baby & Gunna),0.822,0.461,1,-6.506,1,0.449,0.328,0.0,0.122,0.268,130.003,145060,spotify:track:3F57PtOdqRpD6euFYqtKXX
74,Lil Baby,Seals Pills (Lil Baby & Gunna),0.624,0.541,9,-7.162,0,0.0496,0.0137,1.01e-06,0.106,0.368,156.089,176331,spotify:track:7HLglWbzDheHZ3VZUbxGLC
75,Lil Baby,My Jeans (Lil Baby & Gunna feat. Young Thug),0.435,0.715,11,-5.869,1,0.186,0.119,0.0,0.531,0.382,100.576,196448,spotify:track:4T7cJdrTRqOBESPYfvfj2x
76,Lil Baby,Style Stealer (Lil Baby & Gunna),0.808,0.523,1,-7.034,0,0.0605,0.0741,0.000295,0.0957,0.321,155.998,185382,spotify:track:1jzOG0T6JjvaOoHgzl91Nd
